service_id,service_name,busType,first_bpName,first_bp_time,last_bpName,last_bp_time,busNumber
403,Madurai-Bangalore | 09:35PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Karur Bypass,01:00,Majestic - Boarding Zone,07:50,TN30CD9696
404,Bangalore-Madurai | 10:05PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Krishnagiri,00:45,Mattuthavani Bus Stand,07:40,TN30CD9697
407,Bangalore-Goa | 08:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Madiwala - IntrCity Lounge,18:15,Mapusa,11:15,NL01B3258
408,Goa-Bangalore | 07:00PM,2+1(34)AC: Sleeper with Washroom: Luxury,Mapusa,18:20,Madiwala,09:55,NL01B3256
411,Bangalore-Chennai | 10:50PM,2+1(36)AC: Sleeper: Luxury,Hosur - Boarding Zone,00:05,Siruseri,08:10,NL01B3383
412,Chennai-Bangalore | 11:55PM,2+1(36)AC: Sleeper: Luxury,Vellore - Boarding Zone,02:40,Majestic - Boarding Zone,07:30,NL01B3384
414,Bangalore-Coimbatore | 10:20PM,2+1(36)AC: Sleeper: Luxury,Salem Bypass,02:55,Gandhipuram,07:05,TN66AS2499
415,Coimbatore-Bangalore | 10:30PM,2+1(36)AC: Sleeper: Luxury,Omni Bus Stand - IntrCity Lounge,22:30,Whitefield,07:15,TN-66-AS-2433
417,Pune-Goa | 08:00PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Kankavli,04:00,Madgaon,08:00,AR01W7300
418,Goa-Pune | 07:45PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Kolhapur,01:35,Nigdi,07:00,AR01W7400
425,Bangalore-Hyderabad | 08:35PM,2+1(30)AC: Sleeper with Washroom: Luxury,Anantapur,00:05,Mehdipatnam,07:15,KA51AF2483Z
426,Hyderabad-Bangalore | 11:30PM,2+1(30)AC: Sleeper with Washroom: Luxury,Bellary Chowrasta,03:35,Majestic - Boarding Zone,11:30,NL01B1823Z
427,Chennai-Madurai | 11:37PM,2+1(33)AC: Sleeper: Bharat Benz Full Air Suspension,Trichy Bypass,04:55,Mattuthavani - IntrCity Lounge,07:00,TN63BJ2020D
428,Madurai-Chennai | 10:15PM,2+1(33)AC: Sleeper: Bharat Benz Full Air Suspension,Trichy Bypass,00:20,Velachery,06:55,TN63BJ8181D
450,Chennai-Coimbatore | 09:45PM,2+1(48)AC: Volvo Eicher Seater:Sleeper: ,Tindivanam  Bypass,00:25,Gandhipuram,07:45,TN66AQ4854
451,Coimbatore-Chennai | 09:30PM,2+1(48)AC: Volvo Eicher Seater:Sleeper: ,Bhavani,00:20,Koyambedu,07:15,TN66AQ4861
461,Bangalore-Chennai | 10:30PM,2+1(30)AC: Sleeper with Washroom: Luxury,TCR Circle,01:15,Siruseri,07:15,AR01N5664
462,Chennai-Bangalore | 11:00PM,2+1(30)AC: Sleeper with Washroom: Luxury,Vellore - Boarding Zone,02:00,Majestic - Boarding Zone,06:55,AR01N5667
463,Chennai-Trichy | 11:51PM,2+1(30)AC: Sleeper: Luxury,Koyambedu - IntrCity Lounge,22:08,Central Bus Stand,05:45,TN09DH5263
464,Trichy-Chennai | 10:30PM,2+1(30)AC: Sleeper: Luxury,Central Bus Stand,22:30,Koyambedu - IntrCity Lounge,06:00,TN09DH7427
465,Hyderabad-Visakhapatnam | 09:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Allwyn X Road (Van Pickup),18:35,MVP Circle,11:00,TS12UD9638
466,Visakhapatnam-Hyderabad | 05:20PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Benz Circle,01:35,Allwyn X Road (Van Dropoff),07:55,TS12UD9640
472,Chennai-Pollachi | 08:40PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Ambur,00:35,Pollachi,07:45,TN02CA4579
473,Pollachi-Chennai | 09:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,AVR Circle,01:50,Koyambedu,08:30,TN02CA4519
479,Chennai-Trichy | 03:05PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Koyambedu - IntrCity Lounge,14:28,Central Bus Stand,21:20,TN02CA9797
480,Trichy-Chennai | 02:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Central Bus Stand,14:30,Koyambedu,20:45,TN02CA7575
490,Pune-Goa | 08:30PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Karad Bypass,00:15,Madgaon,08:25,AR01W7500
491,Goa-Pune | 09:30PM,2+1(34)AC: BharatBenz Sleeper with Washroom: ,Kolhapur,03:20,Nigdi,09:00,AR01W7700
501,Hyderabad-Goa | 07:45PM,2+1(34)AC: Sleeper with Washroom: Luxury,Kolhapur Bypass,06:10,Panjim,12:15,TG12T2171
502,Goa-Hyderabad | 05:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Panjim,17:00,Kolhapur,23:50,TG12T2172
520,Mumbai-Indore | 10:30PM,2+1(34)AC: Sleeper with Washroom: Volvo Eicher,Dwarka Circle,03:00,Vijay Nagar - IntrCity Lounge,12:05,MP13ZM5419
521,Indore-Mumbai | 10:15PM,2+1(34)AC: Sleeper with Washroom: Volvo Eicher,Dhule Bypass,03:45,Borivali East,12:00,MP13ZM5440
539,Chennai-Vijayawada | 11:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Tada,01:00,Benz Circle,08:00,TN02BY0483
540,Vijayawada-Chennai | 10:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Chilakaluripet,00:45,Siruseri,08:30,TN02BY0461
541,Hyderabad-Chennai | 07:15PM,2+1(34)AC: Sleeper with Washroom: Luxury,Gachibowli (Van Pickup),16:30,Siruseri,08:20,TN02BY0439
542,Chennai-Hyderabad | 07:25PM,2+1(34)AC: Sleeper with Washroom: Luxury,Siruseri,17:00,Nellore Bypass,23:45,TN02BY0421
543,Chennai-Bangalore | 10:20PM,2+1(44)AC: Seater: Sleeper: Luxury,Vellore - Boarding Zone,01:20,Majestic - Boarding Zone,07:20,NL01B2677
544,Bangalore-Chennai | 10:05PM,2+1(44)AC: Seater: Sleeper: Luxury,TCR Circle,00:15,Velachery,05:55,NL01B2688 
545,Mumbai-Indore | 09:30PM,2+1(34)AC: Sleeper with Washroom: Volvo Eicher,Dwarka Circle,01:45,Vijay Nagar - IntrCity Lounge,10:15,MP13ZM5467
546,Indore-Mumbai | 08:15PM,2+1(34)AC: Sleeper with Washroom: Volvo Eicher,Dhule Bypass,01:45,Borivali East,10:00,MP13ZM5436
567,Chennai-Bangalore | 09:45PM,2+1(36)AC: Sleeper with Washroom: Luxury,Vellore - Boarding Zone,00:45,Majestic - Boarding Zone,05:30,AR01S6645
568,Bangalore-Chennai | 09:15PM,2+1(36)AC: Sleeper with Washroom: Luxury,Satellite Bus Stop (Mysore Road),20:00,Velachery,05:15,AR01S6642
569,Mumbai-Goa | 04:15PM,2+1(36)AC: Sleeper: Luxury,Satara,00:55,Madgaon,10:00,NL01B2735
570,Goa-Mumbai | 06:30PM,2+1(36)AC: Sleeper: Luxury,Kolhapur,01:00,Borivali East,09:00,NL01B2728
571,Chennai-Madurai | 09:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Villupuram Bypass,00:45,Mattuthavani - IntrCity Lounge,06:00,TN30CE3919
572,Madurai-Chennai | 09:20PM,2+1(34)AC: Sleeper with Washroom: Luxury,Mattuthavani - IntrCity Lounge,21:20,Koyembedu,05:45,TN30CE3919
575,Visakhapatnam-Guntur | 10:00PM,2+1(32)AC: Sleeper: Luxury,Nakkapalli,00:20,Guntur RTC Bus Stand,06:35,AP07TH7778
576,Guntur-Visakhapatnam | 09:45PM,2+1(32)AC: Sleeper: Luxury,RTC Bus Stop,00:20,MVP Circle,06:40,AP07TH7789
577,Guntur-Hyderabad | 10:35PM,2+1(34)AC: Sleeper: Luxury,Pattabhipuram - IntrCity Lounge,22:35,Gachibowli,06:50,AP39TF1399Y
578,Hyderabad-Guntur | 11:10PM,2+1(34)AC: Sleeper: Luxury,Kondapur,22:10,Pattabhipuram - IntrCity Lounge,07:10,AP39TF2999Y
579,Chennai-Coimbatore | 11:00PM,2+1(32)AC: Sleeper: Luxury,Tindivanam  Bypass,00:15,Gandhipuram,07:45,TN37EX6006
580,Coimbatore-Chennai | 09:00PM,2+1(32)AC: Sleeper: Luxury,Kondalampatti Circle,00:29,Velachery,07:15,TN37EX6006
595,Hyderabad-Goa | 06:40PM,2+1(34)AC: Sleeper with Washroom: Luxury,Kolhapur,04:50,Panjim,11:10,TS12UE3607
596,Goa-Hyderabad | 03:40PM,2+1(34)AC: Sleeper with Washroom: Luxury,Panjim,15:00,Kolhapur,21:45,TS12UE3608
597,Bangalore-Goa | 09:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Madiwala,19:30,Mapusa,11:50,NL01B3257
600,Goa-Bangalore | 05:00PM,2+1(34)AC: Sleeper with Washroom: Luxury,Mapusa,16:20,Madiwala,08:00,NL01B3259
604,Bangalore-Vijayawada | 07:30PM,2+1(42)AC: Sleeper: Scania Multi Axle,Chandapura,17:00,Tirupati Bypass,23:45,NL01B3031
605,Vijayawada-Bangalore | 08:45PM,2+1(42)AC: Sleeper: Scania Multi Axle,Tirupati Bypass,04:00,Chandapura,10:00,NL01B3036
636,Bangalore-Hyderabad | 11:10PM,2+1(34)AC: Sleeper with Washroom: Luxury,Chikkaballapur Bypass,00:25,Gachi_bowli_(O) (Van Dropoff),10:00,NL01B1802
637,Hyderabad-Bangalore | 11:40PM,2+1(34)AC: Sleeper with Washroom: Luxury,Bellary Chowrasta,03:05,Madiwala,10:35,NL01B1801
644,Gurgaon-Amritsar | 09:30PM,2+1(42)AC: Seater: Sleeper with Washroom: Luxury,IFFCO Chowk - Boarding Zone,21:30,Bus Stand - City Center Parking,09:05,AR01S0653
645,Amritsar-Gurgaon | 08:45PM,2+1(42)AC: Seater: Sleeper with Washroom: Luxury,Sherpur Chowk - Boarding Zone,00:00,IFFCO Chowk,07:15,AR01S0656
659,Bangalore-Hyderabad | 08:15PM,2+1(36)AC: Sleeper: Capella Luxury,Anantapur,00:10,Mehdipatnam,07:15,NL01B2551
660,Hyderabad-Bangalore | 07:35PM,2+1(36)AC: Sleeper: Capella Luxury,Gachi_bowli_(O) (Van Pickup),16:45,Majestic - Boarding Zone,08:20,NL01B2552
663,Bangalore-Chennai | 10:25PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Hebbal,20:40,Siruseri,07:00,NL01B3065
664,Chennai-Bangalore | 10:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Vellore - Boarding Zone,01:30,Mekhri Circle,07:00,NL01B3066
668,Guntur-Hyderabad | 10:20PM,2+1(46)AC: Seater: Sleeper: Luxury,Pattabhipuram - IntrCity Lounge,22:00,Chandanagar,06:25,NL01B2183
669,Hyderabad-Guntur | 11:35PM,2+1(46)AC: Seater: Sleeper: Luxury,Chandanagar,22:55,Pattabhipuram - IntrCity Lounge,07:35,NL01B2182
670,Madurai-Chennai | 10:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Trichy Bypass,00:40,Koyembedu (Van Dropoff),06:35,TN02CA0986
671,Chennai-Madurai | 10:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Chengalpattu  - Boarding Zone,00:05,Mattuthavani - IntrCity Lounge,06:45,TN02CA0904
672,Guntur-Hyderabad | 10:45PM,2+1(40)AC: Seater: Sleeper: Luxury,Pattabhipuram - IntrCity Lounge,22:45,Gachibowli,06:55,NL07B0986
673,Hyderabad-Guntur | 11:30PM,2+1(40)AC: Seater: Sleeper: Luxury,Kondapur,22:25,Pattabhipuram - IntrCity Lounge,07:00,NL07B0986
676,Vijayawada-Bangalore | 07:30PM,2+1(36)AC: Sleeper: Luxury,Kavali,00:20,Chandapura,09:15,AP39UA0777
677,Bangalore-Vijayawada | 09:30PM,2+1(36)AC: Sleeper: Luxury,Chandapura,19:00,Palamaner Bypass,23:55,AP39UB0777
686,Hyderabad-Bangalore | 09:30PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Anantapur,04:15,Chandapura,10:05,TS12UE0383
687,Bangalore-Hyderabad | 07:35PM,2+1(46)AC: Seater: Sleeper with Washroom: Hybrid,Chandapura,16:35,Anantapur,23:35,TS12UE0384
690,Mumbai-Goa | 07:00PM,2+1(34)AC: Sleeper with Washroom: Luxury,Talegaon Toll Naka,00:05,Madgaon,11:45,MP13ZG0276
691,Goa-Mumbai | 08:00PM,2+1(34)AC: Sleeper with Washroom: Luxury,Madgaon,18:30,Kankavli,22:40,MP13ZG0210
696,Bangalore-Hyderabad | 08:35PM,2+1(36)AC: Sleeper: Luxury,Anantapur,00:20,Mehdipatnam,07:30,AP39TG0777Z
697,Hyderabad-Bangalore | 09:50PM,2+1(36)AC: Sleeper: Luxury,Bellary Chowrasta,02:15,Chandapura,10:30,AP39UD0777Z
698,Vijayawada-Bangalore | 07:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Kavali,00:10,Chandapura,09:15,PY04A8107
699,Bangalore-Vijayawada | 08:10PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Chandapura,17:40,Chittoor Bypass,23:25,PY04A8133
706,Guntur-Visakhapatnam | 10:15PM,2+1(40)AC: Seater: Sleeper: Luxury,(Gannavaram),00:20,MVP Circle,07:10,AP05TG5553
707,Visakhapatnam-Guntur | 09:00PM,2+1(40)AC: Seater: Sleeper: Luxury,MVP Colony,21:00,Pattabhipuram - IntrCity Lounge,06:10,AP05TG5554
708,Hyderabad-Tirupati | 09:30PM,2+1(34)AC: Sleeper with Washroom: Luxury,Miyapur - Boarding Zone (Van Pickup),18:25,Tirupati,07:55,AP39VD6284
709,Tirupati-Hyderabad | 08:45PM,2+1(34)AC: Sleeper with Washroom: Luxury,BMR Harini Parking,20:45,Mehdipatnam,07:50,AP39VD6283
710,Chennai-Trichy | 10:45PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Melmaruvathur,00:30,Central Bus Stand,05:45,TN02CE7575
711,Trichy-Chennai | 11:00PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Perambalur Bypass,00:25,Koyambedu,05:30,TN02CE9797
714,Hyderabad-Vijayawada | 11:05PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Chandanagar,22:25,Gannavaram,06:30,PY04A7961
715,Vijayawada-Hyderabad | 11:25PM,2+1(46)AC: Seater: Sleeper with Washroom: Luxury,Gannavaram,22:45,Chandanagar,06:50,PY04A7985
719,Vijayawada-Chennai | 10:05PM,2+1(48)AC: Seater: Sleeper: Luxury,Chilakaluripet,00:20,Siruseri,08:10,TN02CA0780
720,Chennai-Vijayawada | 11:00PM,2+1(48)AC: Seater: Sleeper: Luxury,Tada,00:55,Benz Circle,07:35,TN02CA0793
